Id	Newspaper Id	Field	Value	Is Auto	Is Modified
33004	8017	First Issue Date	1861-11-15	false	false
41003	13036	Papers Past Code	NOT	false	false
43001	2007	First Issue Date	21 Feb 1938	false	false
43002	13036	First Issue Date	1872-12-03	false	false
46001	8017	Papers Past Code	ODT	false	false
49001	4036	Papers Past Code	NZH	false	false
50001	4036	First Issue Date	1863-11-13	false	false
53001	52001	First Issue Date	1876-07-21	false	false
54001	52001	Papers Past Code	AMBPA	false	false
57001	6018	Papers Past Code	DSC	false	false
79001	10043	Papers Past Code	NOT	false	false
79002	6040	Papers Past Code	NZABIG	false	false
80002	10043	First Issue Date	1864-02-25	false	false
82001	10043	Final Issue Date	1872-11-29	false	false
96004	9003	Papers Past Code	AS	false	false
96005	69065	Papers Past Code	BPB	false	false
97005	68053	Papers Past Code	AS	false	false
97009	1026	Papers Past Code	BOPT	false	false
98011	3041	Papers Past Code	IT	false	false
98013	59101	Note	Also published in Lawrence.	false	false
98018	8027	Papers Past Code	TAN	false	false
100005	12006	First Issue Date	1966-04-04	false	false
100007	12030	Papers Past Code	BA	false	false
101007	4028	Papers Past Code	AG	false	false
101018	5039	Papers Past Code	TAN	false	false
102015	2048	Note	Place Tokomairiro until 1907.	false	false
103005	2048	Papers Past Code	BH	false	false
103006	2048	First Issue Date	1864-04-14	false	false
104003	4028	First Issue Date	1887-01-01 	false	false
104004	4028	Note	Independent	false	false
104008	1026	First Issue Date	1872-09-04	false	false
107010	13009	Note	Record for microfilm edition.	false	false
108004	68053	First Issue Date	1870-01-08	false	false
108006	52001	Note	Independent	false	false
108007	2048	Final Issue Date	1971-10-07	false	false
110005	68053	Final Issue Date	1887-04-12	false	false
110008	12030	First Issue Date	1888-05-08	false	false
114001	12030	Final Issue Date	1901-10-07	false	false
115002	5043	Papers Past Code	BA	false	false
118001	5043	First Issue Date	1901-10-08	false	false
119002	5043	Final Issue Date	1912-04-30	false	false
121004	6018	First Issue Date	1862-05-20	false	false
121005	6018	Description	1876-12-30	false	false
121006	3032	First Issue Date	1907-09-26	false	false
122001	6009	Papers Past Code	CL	false	false
122003	6008	Papers Past Code	DTN	false	false
122004	6008	Final Issue Date	1999-05-02	false	false
122008	13030	Final Issue Date	1939-10-14	false	false
123015	4002	Papers Past Code	HBH	false	false
124001	6009	First Issue Date	1874-07-09	false	false
124003	1035	Papers Past Code	NEM	false	false
124006	6008	First Issue Date	1871-02-01	false	false
124007	10023	First Issue Date	1865-02-08	false	false
125008	66067	Papers Past Code	EG	false	false
125009	66067	First Issue Date	1880-07-23	false	false
125013	8032	Papers Past Code	HNS	false	false
126001	14043	Papers Past Code	TC	false	false
126003	4032	First Issue Date	1843-04-22	false	false
126006	66067	Final Issue Date	1981-04-29	false	false
127002	14043	First Issue Date	1857-10-23	false	false
127003	1035	Final Issue Date	1995-06-10	false	false
127005	4032	Final Issue Date	1862-05-16	false	false
127013	9020	First Issue Date	1865-11-14	false	false
128001	14043	Final Issue Date	1920-05-01	false	false
128004	3032	Final Issue Date	2002-07-06	false	false
128007	13030	Papers Past Code	FS	false	false
129001	1035	First Issue Date	1866-03-05	false	false
129011	9020	Papers Past Code	GRA	false	false
130003	3032	Papers Past Code	DOM	false	false
130006	1045	First Issue Date	1900-07-07	false	false
131004	13030	First Issue Date	1882-06-17	false	false
131006	8032	First Issue Date	1880-04-10	false	false
132003	4032	Papers Past Code	DSC	false	false
132005	1041	First Issue Date	2002-07-08	false	false
133003	10023	Papers Past Code	EP	false	false
134013	1045	Papers Past Code	NZFL	false	false
134014	1045	Final Issue Date	1960-11-02	false	false
135003	10023	Final Issue Date	2002-07-06	false	false
136004	8032	Final Issue Date	1924-06-10	false	false
136005	4002	Final Issue Date	1937-01-15	false	false
137007	68024	Final Issue Date	1952-03-12	false	false
137008	6003	Papers Past Code	LT	false	false
138001	9020	Final Issue Date	1966-02-23	false	false
139001	4002	First Issue Date	1857-09-24	false	false
141003	8006	Note	Digital edition: http://www.pressdisplay.com/pressdisplay/viewer.aspx?cid=1862	false	false
141004	2042	First Issue Date	1865-02-06	false	false
141007	58078	First Issue Date	1917-01-20	false	false
141009	14005	Papers Past Code	HN	false	false
141011	141010	Papers Past Code	KWE	false	false
142001	11020	Note	Digitial edition: http://fairfaxmedia.newspaperdirect.com/epaper/viewer.aspx?cid=1746	false	false
142006	68024	Papers Past Code	KWE	false	false
145002	8006	Note	Some issues accompanied by Central South Island Farmer (quarterly).	false	false
