Id	Newspaper Id	Target Id	Direction	Relationship	Target Description	Is Auto	Is Modified
15006	10008	13028	Succeeding	Merged into	The Star	false	false
15007	14005	unknown	Preceding	Absorbed	What's new (Lower Hutt (N.Z.). City Council)	true	false
15009	11014	10019	Succeeding	Merged	Norwester (Wellington, N.Z.)	true	false
15011	10019	11014	Succeeding	Merged	Contact (Wellington, N.Z. : 1991)	true	false
15012	4023	1010	Preceding	Absorbed	Milton gazette	true	false
15013	4028	7037	Has Edition		Guardian Today	false	false
15014	1032	14023	Succeeding	Merged	Our town Papakura	true	false
15015	10029	17002	Preceding	Continues	Picton paper	true	false
15016	11023	14014	Succeeding	Continued by	Courier (Timaru, N.Z.)	true	false
15017	13027	unknown	Succeeding	Continued by	Manuhiri tuarangi and Maori intelligencer	true	false
15018	26	10034	Preceding	Continues	Dominion Sunday times	true	false
15019	14026	14014	Succeeding	Continued by	Courier (Ashburton, N.Z. : 1995)	true	false
15020	10034	26	Succeeding	Continued by	Sunday Times [1992]	false	false
15021	4041	3035	Succeeding	Merged	Leader (Nelson, N.Z.)	true	false
15022	3035	4041	Preceding	Formed by the union	Motueka sun	true	false
15026	14036	2051	Succeeding	Continued by	Yi zhou tong	true	false
15028	7043	8036	Continued By		Doubtless Bay  Times	true	false
15029	42	14039	Succeeding	Merged	Aucklander (Central ed.)	true	false
15030	6043	8038	Continued By		Horowhenua &  Kapiti News	true	false
15032	7046	6030	Preceding	Continues	Tamaki times	true	false
15033	9035	unknown	Succeeding	Continued by	Voice of labour	true	false
15034	6045	12035	Succeeding	Continued by	Papatoetoe-Otara gazette	true	false
15035	7047	unknown	Succeeding	Merged	Courier (Central ed. : 1970)	true	false
15036	4054	7057	Succeeding	Continued by	High Country herald (2007)	true	false
15037	6048	unknown	Succeeding	Continued by	Waitaki Herald.	true	false
15038	11050	4061	Succeeding	Unrelated	Star community (Eastern)	true	false
15039	11050	11045	Preceding	Formed by the union	Shore news (Christchurch, N.Z.)	true	false
15040	11052	unknown	Succeeding	Continued by	Urban&Country	true	false
15041	4064	5054	Succeeding	Unrelated	Star community news (Eastern)	true	false
15042	9039	2011	Preceding	Continues	Western news (Wellington, N.Z.)	true	false
15043	14053	1058	Continued By		Citylife Porirua News	false	false
15044	54	13033	Continues		Franklin Life Newspaper	true	false
15045	11054	10025	Preceding	Continues	Canterbury times (1996)	true	false
15046	10060	11052	Preceding	Continues	Country (Matamata, N.Z.)	true	false
15047	11056	14039	Preceding	Formed by the union	Aucklander (Central ed.)	true	false
15048	4070	9039	Preceding	Formed by the union	Citylife (West ed.)	true	false
15049	2061	9044	Succeeding	Continued by	Filipino migrant news	true	false
15050	11057	13052	Preceding	Continues	Chronicle 	false	false
15051	3061	2057	Preceding	Continues	Star community news (Western)	true	false
16003	1003	18002	Succeeding	Continued by	North Canterbury outlook.	true	false
16004	6007	unknown	Succeeding	Continued by	North Shore week	true	false
16006	1007	unknown	Preceding	Formed by the union	Alexandra herald	true	false
16008	5009	unknown	Preceding	Continues	Sunday news (Northern ed.)	true	false
16009	4015	1013	Preceding	Continues	Contact (Wellington, N.Z. : 1969)	true	false
16011	10016	unknown	Succeeding	Continued by	Matakokiri taima (1917)	true	false
16012	7016	7011	Preceding	Formed by the union	Wairarapa News	false	false
16013	5016	3048	Continued By		New Tatler	false	false
16014	6018	4032	Preceding	Continues	Southern Cross	false	false
16015	13018	unknown	Preceding	Continues	Month (Auckland, N.Z.)	true	false
16016	11019	4006	Preceding	Continues	Community news (Pegasus post ed.)	true	false
16017	2027	1034	Succeeding	Continued by	New Zealand Gazette and Wellington Spectator	false	false
16018	2028	3059	Succeeding	Continued by	Record (Winton (N.Z.))	true	false
16019	2029	12010	Succeeding	Absorbed by	People's voice (Auckland, N.Z. : 1939)	true	false
16020	3029	13042	Succeeding	Continued by	Waihi leader (2004)	true	false
16021	5032	5033	Succeeding	Continued by	Colonist	false	false
16022	5033	5032	Preceding	Continues	Otago Colonist	false	false
16025	14026	14014	Preceding	Continues	Courier (Ashburton, N.Z.)	true	false
16026	10039	3006	Preceding	Continues	New Truth & TV Extra	false	false
16031	14037	1008	Preceding	Formed by the union	Feilding herald	true	false
16032	14039	42	Succeeding	Merged	Aucklander (City ed.)	true	false
16033	14039	6042	Succeeding	Merged	Aucklander (East ed.)	true	false
16034	14039	5053	Succeeding	Merged	Aucklander (Tamaki)	true	false
16035	4048	6031	Preceding	Continues	Shore news (Auckland, N.Z. : 1994)	true	false
16036	5042	4033	Preceding	Formed by union	The Christchurch Times	false	false
16038	11042	13032	Preceding	Formed by union	Observer	false	false
16039	11042	7032	Preceding	Formed by union	Auckland Free Lance	false	false
16040	4053	3009	Succeeding	Merged into	Wairarapa Times-Age	false	false
16041	3050	8035	Succeeding	Unrelated	Local matters (Mahurangi, Matakana)	true	false
16042	11046	10042	Preceding	Formed by the union	Northern mail (Christchurch, N.Z.)	true	false
16043	11050	13047	Succeeding	Unrelated	Star community (Western)	true	false
16045	11053	10068	Succeeding	Continued by	Observer (Christchurch, N.Z. : 2009)	true	false
16046	12044	14042	Preceding	Continues	Wainuiomata news	true	false
16048	4067	unknown	Preceding	Continues	iBall	true	false
16049	1058	14053	Preceding	Continues	Citylife (Porirua ed.)	true	false
16050	10071	2060	Preceding	Continues	Aucklander North Shore	true	false
17003	9002	unknown	Succeeding	Continued by	Food industry news	true	false
17006	6006	unknown	Succeeding	Continued by	New Zealand rugby news	true	false
17008	8002	unknown	Preceding	Continues	Homedale tatler	true	false
17010	13004	12001	Preceding	Formed by the union	Malvern record	true	false
17011	7004	unknown	Preceding	Formed by the union	Arrow	true	false
17013	5008	10026	Succeeding	Continued by	Westside news (Hamilton, N.Z.)	true	false
17014	9008	unknown	Preceding	Absorbed	Town & country crier	true	false
17015	18002	unknown	Preceding	Continues	Northern outlook (1990)	true	false
17016	5011	unknown	Preceding	Continues	Herald-gazette (Christchurch, N.Z.)	true	false
17018	4015	11014	Succeeding	Continued by	Contact (Wellington, N.Z. : 1991)	true	false
17021	12010	unknown	Succeeding	Continued by	New Zealand people's voice.	true	false
17022	12012	unknown	Preceding	Continues	Waka Maori o Ahuriri	true	false
17023	1022	3035	Succeeding	Merged	Leader (Nelson, N.Z.)	true	false
17024	3025	10017	Preceding	Continues	Creativity network (Wellington, N.Z.)	true	false
17025	9017	unknown	Preceding	Continues	Twizel newsletter	true	false
17026	5024	13027	Preceding	Continues	Maori messenger (1855)	true	false
17027	5024	unknown	Succeeding	Continued by	Karere Maori	true	false
17028	14023	unknown	Preceding	Continues	Our town	true	false
17029	5028	46	Continued By	Continued by	Report	false	false
17031	4031	unknown	Preceding	Continues	Chinese weekly	true	false
17032	11024	unknown	Preceding	Absorbed	Jia ri	true	false
17033	11024	unknown	Succeeding	Continued in part by	Jia ri zhou bao	true	false
17037	4040	11023	Succeeding	Continued by	Timaru's the courier	true	false
17039	9022	unknown	Succeeding	Continued by	Korimako hou	true	false
17040	4042	1027	Preceding	Absorbed	The Examiner	false	false
17043	2041	4030	Preceding	Continues	Herald (Gisborne, N.Z.)	true	false
