Id	First year	Final year	Title	Placecode	Placename	District	Region	Current?	Genre	Digitised URL	Current URL	MARC Control Number	Modified At	Modified By
21	1997	1997	Shore Weekender	02-01-auckland	Auckland	Auckland	Auckland	no	Newspaper			4754712	Wed May 07 09:11:42 UTC 2014	DataBot
22	19uu	1996	Courier-leader (Hastings Ed.)	06-03	Napier	Napier City	Hawke's Bay	no	Newspaper			4785180	Wed May 07 09:11:51 UTC 2014	DataBot
23	1997	2001	Tawa Times	09-08-wellington	Wellington	Wellington City	Wellington	no	Periodical			4828979	Wed May 07 09:49:24 UTC 2014	DataBot
24	1966	1995	New  Zealand Tribune	02-01-auckland	Auckland	Auckland	Auckland	no	Periodical			4866751	Wed May 07 09:00:33 UTC 2014	DataBot
25	1842	1846	The  Auckland Times	02-01-auckland	Auckland	Auckland	Auckland	no	Newspaper			4870955	Thu Oct 31 10:01:56 UTC 2013	gordon.paynter
26	1992	1994	Sunday Times [1992]	09-08	Wellington	Wellington City	Wellington	no	Newspaper			4977281	Tue Nov 11 11:10:12 UTC 2014	gordon.paynter
27	1991	1993	Mana Tangata	08-03	Whanganui	Wanganui District	Manawatu-Wanganui	no	Periodical			5077501	Wed May 07 09:00:47 UTC 2014	DataBot
28	1867	1uuu	The Auckland Budget	02-01	Auckland	Auckland	Auckland	no	Newspaper			5104409	Fri May 16 03:05:13 UTC 2014	gordon.paynter
29	1999	9999	Central Today	12-05-christchur	Christchurch	Christchurch City	Canterbury	yes	Newspaper			5107819	An Unknown Date	An Unknown User
30	19uu	9999	Positively Tauranga	04-02	Tauranga	Tauranga City	Bay of Plenty	yes	Periodical			5516412	Tue Apr 02 08:58:35 UTC 2013	marc-loader-bot
31	19uu	2000	East Otago Review	13-99	Palmerston	Waitaki District	Otago	no	Periodical			5548928	Wed May 07 09:00:53 UTC 2014	DataBot
32	1935	1936	The Advocate	09-05	Upper Hutt	Upper Hutt City	Wellington	no	Newspaper			5557396	Tue Apr 02 08:58:38 UTC 2013	marc-loader-bot
33	1966	19uu	Takapuna Tatler	02-01	Mt Roskill	Auckland	Auckland	no	Newspaper			6080615	Wed May 07 08:59:11 UTC 2014	DataBot
34	2001	2002	NZ  InfoTech	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper		http://www.infotech.co.nz	6279971	Wed May 07 09:12:58 UTC 2014	DataBot
35	1951	1968	Korero of  Kati Kati	04-01	Kati Kati	Western Bay of Plenty District	Bay of Plenty	no	Periodical			6776871	Wed May 07 09:00:58 UTC 2014	DataBot
36	199u	2002	House of  the  Year	08-07	Levin	Horowhenua District	Manawatu-Wanganui	no	Periodical			7238547	Wed May 07 08:48:36 UTC 2014	DataBot
37	2002	2004	Karere News	02-01-auckland	Auckland	Auckland	Auckland	no	Newspaper			7257615	Fri May 16 02:47:18 UTC 2014	gordon.paynter
38	1895	1uuu	Newtown Advocate (1895)	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper			7586687	Wed May 07 09:13:30 UTC 2014	DataBot
39	1975	1982	New  Zealand Greyhound World	09-08-wellington	Wellington	Wellington City	Wellington	no	Periodical			7649312	Wed May 07 08:56:36 UTC 2014	DataBot
40	2002	9999	Manawatu Standard [2002]	08-05	Palmerston North	Palmerston North City	Manawatu-Wanganui	yes	Masthead		http://www.manawatustandard.co.nz/	7830928	Fri Mar 21 11:49:11 UTC 2014	DataBot
41	2003	9999	Howick and  Botany District Times	02-01	Howick	Auckland	Auckland	yes	Newspaper		http://www.times.co.nz/	7864055	Wed May 07 09:50:07 UTC 2014	DataBot
42	2003	2008	Aucklander (City Ed.)	02-01	Auckland	Auckland	Auckland	no	Alternate Edition		http://www.theaucklander.co.nz/	7966819	Wed Jan 21 10:26:38 UTC 2015	gordon.paynter
43	2003	9999	Aucklander (West Ed.)	02-01	Auckland	Auckland	Auckland	yes	Alternate Edition		http://www.theaucklander.co.nz/	7978304	Wed Jan 21 10:26:21 UTC 2015	gordon.paynter
44	1903	1960	Taranaki Daily News	07-01	New Plymouth	New Plymouth District	Taranaki	no	Masthead			8183569	Thu Mar 27 10:42:23 UTC 2014	gordon.paynter
45	200u	2009	South West Scene :  Keeping Locals &  Visitors Informed	11-03	Hokitika	Westland District	West Coast	no	Periodical			8298902	Wed May 07 09:50:30 UTC 2014	DataBot
46	2003	2006	Report	01-02	Whangarei	Whangarei District	Northland	no	Masthead			8374182	Wed May 07 09:50:35 UTC 2014	DataBot
47	2004	9999	Upper Hutt News &  More	09-05	Upper Hutt	Upper Hutt City	Wellington	yes	Periodical			8651489	Wed May 07 09:51:06 UTC 2014	DataBot
48	2000	2007	The  Oakura Messenger :  TOM	07-01	Oakura	New Plymouth District	Taranaki	no	Periodical		http://www.tompapers.com/	8695182	Wed May 07 09:51:08 UTC 2014	DataBot
49	2004	9999	South Taranaki Star	07-03	Hawera	South Taranaki District	Taranaki	yes	Newspaper		http://www.fairfaxmedia.co.nz/ad-centre/newspaper-details.dot?id=14751	8730051	Wed May 07 09:51:10 UTC 2014	DataBot
50	2004	9999	Herald on Sunday	02-01-auckland	Auckland	Auckland	Auckland	yes	Newspaper			8948358	Sat May 31 10:31:41 UTC 2014	gordon.paynter
51	19uu	9999	Courier Country	12-08	Timaru	Timaru District	Canterbury	yes	Periodical			9042560	Wed May 07 09:51:18 UTC 2014	DataBot
52	1980	198u	Hawke's Bay  Farmer	06-02	Hastings	Hastings District	Hawke's Bay	no	Periodical			9166100	Wed May 07 09:03:36 UTC 2014	DataBot
53	2006	9999	Greymouth Star	11-02	Greymouth	Grey District	West Coast	yes	Newspaper		http://www.greystar.co.nz/	10738391	Sat Apr 12 11:38:08 UTC 2014	gordon.paynter
54	2006	2007	Franklin-Papakura Life Newspaper	02-01	Pukekohe	Auckland	Auckland	no	Newspaper			11117674	Wed Jan 21 10:50:39 UTC 2015	gordon.paynter
55	199u	200u	Yazhou zhi  Sheng	02-01-auckland	Auckland	Auckland	Auckland	no	Newspaper			11253262	Wed Apr 03 08:11:38 UTC 2013	marc-loader-bot
56	1986	19uu	Christchurch Shopping Guide (1986)	12-05-christchur	Christchurch	Christchurch City	Canterbury	no	Newspaper			11592118	Wed May 07 09:08:58 UTC 2014	DataBot
57	18uu	19uu	The  Auckland Star Exhibition Number	02-01-auckland	Auckland	Auckland	Auckland	no	Periodical			11609946	Wed Apr 03 08:11:52 UTC 2013	marc-loader-bot
58	2008	9999	Korako	12-05	Christchurch	Christchurch City	Canterbury	yes	Newspaper		http://www.tekorako.maori.nz/	11672697	Fri May 16 03:59:11 UTC 2014	gordon.paynter
59	2008	9999	Eastsider (Waikato Community Newspapers)	03-05	Hamilton	Hamilton City	Waikato	yes	Periodical			12835540	Wed May 07 08:48:42 UTC 2014	DataBot
60	2009	9999	Citylife Wainuiomata News	09-07	Petone	Hutt City	Wellington	yes	Newspaper			12846470	Wed May 07 09:09:19 UTC 2014	DataBot
61	2009	9999	Cook Strait News	09-07	Petone	Hutt City	Wellington	yes	Newspaper		http://cookstraitnews.co.nz/	12846472	Wed Nov 19 09:11:42 UTC 2014	gordon.paynter
62	200u	2009	Taradale Observer	06-03	Taradale	Napier City	Hawke's Bay	no	Periodical			12858284	Wed May 07 08:59:48 UTC 2014	DataBot
63	2009	2009	Fu  bao	02-01-auckland	Auckland	Auckland	Auckland	no	Newspaper			13162722	Wed May 07 09:09:34 UTC 2014	DataBot
64	2009	9999	Indian Weekender :  New  Zealand's First Indian Weekend Magazine	02-01-auckland	Auckland	Auckland	Auckland	yes	Periodical			13196770	Wed May 07 08:55:38 UTC 2014	DataBot
65	1974	1982	Wanganui Rangitikei Farmer :  the  Monthly Rural Newspaper Covering Farmers in  the  Wanganui and  Rangitikei Farming Districts	08-05	Palmerston North	Palmerston North City	Manawatu-Wanganui	no	Periodical			13489503	Wed May 07 08:59:53 UTC 2014	DataBot
1001	1934	1964	Weekly News	02-01-auckland	Auckland	Auckland	Auckland	no	Newspaper			1235073	Wed Jan 21 10:37:36 UTC 2015	gordon.paynter
1002	199u	9999	Rotorua Weekender	04-05	Rotorua	Rotorua District	Bay of Plenty	yes	Weekend Edition		http://www.rotoruadailypost.co.nz/topic/rotorua-weekender/	2659112	Wed May 07 09:10:24 UTC 2014	DataBot
1003	1982	1988	Northern Outlook	12-04	Rangiora	Waimakariri District	Canterbury	no	Newspaper			2750499	Wed May 07 09:46:57 UTC 2014	DataBot
1004	1993	2003	Manurewa Week	02-01-auckland	Auckland	Auckland	Auckland	no	Newspaper			2795473	Wed May 07 09:46:58 UTC 2014	DataBot
1005	1881	18uu	Era	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper			2864353	Wed May 07 09:10:29 UTC 2014	DataBot
1006	1988	2008	West Coast Times [1988]	11-03	Hokitika	Westland District	West Coast	no	Newspaper			3530511	Sat Apr 12 11:47:22 UTC 2014	gordon.paynter
1007	1948	1999	Central Otago News	13-02	Alexandra	Central Otago District	Otago	no	Newspaper			3531219	Wed May 07 09:05:37 UTC 2014	DataBot
1008	1957	9999	Feilding Herald	08-04	Feilding	Manawatu District	Manawatu-Wanganui	yes	Newspaper			3531223	Wed May 07 09:47:26 UTC 2014	DataBot
1009	1921	9999	Wairoa Star	06-01	Wairoa	Wairoa District	Hawke's Bay	yes	Newspaper			3531231	Wed May 07 09:05:39 UTC 2014	DataBot
1010	1971	1993	Milton Gazette	13-04	Balclutha	Clutha District	Otago	no	Newspaper			3531244	Wed May 07 09:47:36 UTC 2014	DataBot
1011	1983	9999	Taupo Weekender	03-10	Taupo	Taupo District	Waikato	yes	Newspaper		http://www.facebook.com/pages/Taupo-Weekender/105073816244171	3531257	Tue Jan 06 09:24:58 UTC 2015	gordon.paynter
1012	1988	9999	Wanganui Midweek	08-03	Wanganui	Wanganui District	Manawatu-Wanganui	yes	Newspaper			3561163	Tue Apr 02 08:54:57 UTC 2013	marc-loader-bot
1013	1969	1990	Contact (Wellington)	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper			3601354	Wed May 07 09:47:49 UTC 2014	DataBot
1014	1979	1997	Weekly News [1979]	08-07	Levin	Horowhenua District	Manawatu-Wanganui	no	Masthead			3604369	Sat May 31 09:28:01 UTC 2014	gordon.paynter
1015	1989	1990	NewsPlus	12-05-christchur	Christchurch	Christchurch City	Canterbury	no	Newspaper			3678323	Thu Apr 25 09:48:34 UTC 2013	gordon.paynter
1016	1988	1994	Kuki Airani	02-01-auckland	Auckland	Auckland	Auckland	no	Periodical			3805514	Wed May 07 09:00:03 UTC 2014	DataBot
1017	1991	1992	On  the  Hill News &  Views	09-07	Lower Hutt	Hutt City	Wellington	no	Periodical			3888222	Wed May 07 09:48:11 UTC 2014	DataBot
1018	1985	9999	Auckland City Harbour News	02-01-auckland	Auckland	Auckland	Auckland	yes	Newspaper			3888572	Wed May 07 09:48:12 UTC 2014	DataBot
1019	1987	1993	Mirror (Invercargill)	14-01	Invercargill	Southland District	Southland	no	Newspaper			3889254	Wed May 07 09:11:09 UTC 2014	DataBot
1020	1982	9999	Central Districts Farmer	08-05	Palmerston North	Palmerston North City	Manawatu-Wanganui	yes	Periodical			4025531	Wed May 07 09:00:11 UTC 2014	DataBot
1021	1966	1989	Pegasus Post	12-05-christchur	Christchurch	Christchurch City	Canterbury	no	Periodical			4074931	Tue Apr 02 08:55:56 UTC 2013	marc-loader-bot
1022	1992	1993	Community Leader	10-02	Nelson	Nelson City	Top of the South	no	Periodical			4151138	Wed May 07 09:48:25 UTC 2014	DataBot
1023	1993	2001	City Voice Wellington	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper			4174174	Wed May 07 09:48:26 UTC 2014	DataBot
1024	1998	2011	Country News	04-02	Tauranga	Tauranga City	Bay of Plenty	no	Periodical			4248725	Wed May 07 09:48:34 UTC 2014	DataBot
1025	1988	2004	Nor'west Newsbrief	02-01	Kumeu	Auckland	Auckland	no	Periodical			4608094	Tue Apr 02 08:56:43 UTC 2013	marc-loader-bot
1026	1872	9999	Bay  of  Plenty Times	04-02	Tauranga	Tauranga City	Bay of Plenty	yes	Newspaper	http://paperspast.natlib.govt.nz/cgi-bin/paperspast?a=d&cl=CL1.BOPT	http://www.bayofplentytimes.co.nz	4645508	Fri Mar 21 11:47:20 UTC 2014	DataBot
1027	1990	1991	The Examiner	02-01	Auckland	Auckland	Auckland	no	Newspaper			4685274	Sat May 31 10:34:45 UTC 2014	gordon.paynter
1028	1996	1998	Golden Bay  Gazette	10-01	Takaka	Tasman District	Top of the South	no	Newspaper			4715916	Wed May 07 09:48:56 UTC 2014	DataBot
1029	1878	1973	The  Mataura Ensign	14-02	Gore	Gore District	Southland	no	Newspaper	http://paperspast.natlib.govt.nz/cgi-bin/paperspast?a=d&cl=CL1.ME		4716789	Thu May 09 10:58:16 UTC 2013	gordon.paynter
1030	1977	1987	Mount Cook Messenger	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper			4777956	Wed May 07 08:59:00 UTC 2014	DataBot
1031	1996	2004	The  Hastings Leader	06-03	Napier	Napier City	Hawke's Bay	no	Newspaper			4781639	Wed May 07 09:49:08 UTC 2014	DataBot
1032	1995	2003	Papatoetoe &  Otahuhu Week	02-01	Papatoetoe	Auckland	Auckland	no	Newspaper			4788287	Wed May 07 09:49:12 UTC 2014	DataBot
1033	1937	1946	N.Z  Chinese Weekly News	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper			4792556	Wed May 07 09:11:55 UTC 2014	DataBot
1034	1840	1844	The New Zealand Gazette and Wellington Spectator [1840-1844]	09-08	Port Nicholson	Wellington City	Wellington	no	Masthead	http://paperspast.natlib.govt.nz/cgi-bin/paperspast?a=d&cl=CL1.NZGWS		4870005	Wed May 07 09:05:24 UTC 2014	DataBot
1035	1866	1995	Nelson Evening Mail	10-02	Nelson	Nelson City	Top of the South	no	Newspaper	http://paperspast.natlib.govt.nz/cgi-bin/paperspast?a=d&cl=CL1.NEM		4871237	Fri Mar 21 11:48:13 UTC 2014	DataBot
1036	1861	1863	Te  Hokioi o  Nui-Tireni, e  Rere Atuna	03-03	Ngaruawahia	Waikato District	Waikato	no	Periodical		http://nzdl.org/cgi-bin/library?gg=_cgiarggg_&e=d-00000-00---off-0niupepa--00-0--0-10-0---0---0prompt-10---4-------0-1l--11-en-50---20-about---00-0-1-00-0-0-11-1-0utfZz-8-00&a=d&c=niupepa&cl=CL1.12	4875274	Wed May 07 09:00:38 UTC 2014	DataBot
1037	1862	1864	The Albertland Gazette	01-03	Port Albert	Kaipara District	Northland	no	Newspaper	http://paperspast.natlib.govt.nz/cgi-bin/paperspast?a=d&cl=CL1.ALG		4907666	Wed May 07 09:00:40 UTC 2014	DataBot
1038	1980	1981	The Nation	09-08-wellington	Wellington	Wellington City	Wellington	no	Newspaper			4943690	Wed May 07 09:12:22 UTC 2014	DataBot
